checkpoint,method,spearman_tfd_mean,spearman_ffd_mean,spearman_fc_mean,overlap_span_mean,overlap_span_1_mean,overlap_span_2_mean,overlap_span_3_mean,overlap_span_4_mean,overlap_span_5_mean,overlap_span_10_mean,overlap_span_20_mean,ce_model_span_mean,kl_model_span_mean,js_model_span_mean,ce_model_human_mean,kl_model_human_mean,js_model_human_mean,n_texts
mrbert_full,saliency,0.048694158504797504,-0.054347161330150426,0.09223084753413108,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.712627243335266,20.62026026720715,0.8318557893763536,24.325813340765965,20.20761980999106,0.7881399230331894,40
mrbert_full,input_x_gradient,0.045025206828074926,-0.057214334025319204,0.08803425241189992,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.723793969165264,20.631426993037273,0.8381796222408113,24.341762948224975,20.223569417450097,0.7967886928176352,40
mrbert_full,ig,0.03673505547553611,-0.06170677407648111,0.08326764007721646,0.9048725294865437,0.9085752184769038,0.9074641073657926,0.9047243813383955,0.8862058628198769,0.9048725294865437,0.9048725294865437,0.9048725294865437,24.989497399625968,20.94727034466772,0.8374009253396054,24.58278657072108,20.560439063971064,0.8065228874157827,34
mrbert_full,lrp,0.041239806366057126,-0.050678083727706685,0.08109052238398365,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.902331103184471,0.8868990044190389,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.75805783260543,20.6656908564786,0.8399000837317498,24.40557630722173,20.287382776446965,0.7975325420672318,40
mbert_filtered,saliency,0.07918972193783329,-0.04047514697630589,0.12709261851212247,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,24.02937667896576,19.93700970283326,0.7942400634917243,23.428410536345602,19.31021700557077,0.7381430943269596,40
mbert_filtered,input_x_gradient,0.07126330805708066,-0.04261585504467781,0.11754829242254651,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,24.047731462369455,19.955364486237183,0.8029634250449789,23.449556307244436,19.33136277646964,0.7486009789656993,40
mbert_filtered,ig,0.07078990358647647,-0.033917534844689734,0.11646144523436273,0.9160639966057739,0.9193310751266799,0.918350682969817,0.9159332776515254,0.8995934083704796,0.8995934083704796,0.8995934083704796,0.9160639966057739,24.46555734046525,20.372703056931517,0.8077743437030399,23.866899723161207,19.798112038093155,0.7648428770860671,38
mbert_filtered,lrp,0.07834921705386116,-0.043988255279603934,0.12612615734725827,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,22.973146579385222,18.88077960325281,0.7566216666143296,22.894081918881973,18.775888388107195,0.7222728262721265,40
mrbert_filtered,saliency,0.0483020772851887,-0.055216970604676376,0.09198371318024418,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.713817977060994,20.621451000932826,0.8325610323652463,24.32567573032542,20.2074821995505,0.7881255780128011,40
mrbert_filtered,input_x_gradient,0.04555571722783008,-0.055654322590046434,0.08857319932057729,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.729570659855447,20.637203683727513,0.8409683679200978,24.348693496717253,20.23049996594237,0.799907401206384,40
mrbert_filtered,ig,0.03909945478566282,-0.0647402153993684,0.08605477599373564,0.9178650343777883,0.9216954022988505,0.9205459770114942,0.9177117776728075,0.8985546895502021,0.9178650343777883,0.9178650343777883,0.9178650343777883,25.609051982902226,21.56100433848104,0.8540583629053202,25.23928627052327,21.23028253240061,0.8276895188913328,33
mrbert_filtered,lrp,0.048069241105486854,-0.0417979283251753,0.08459280379326332,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8868990044190389,0.8868990044190389,0.8868990044190389,24.194489971380175,20.102122995253293,0.819415321557603,23.779560128707153,19.66136659793227,0.7760803929930888,40
mbert_full,saliency,0.07635936663419045,-0.04233999479882896,0.12384640350364381,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,24.029496094242592,19.937129118110068,0.7941531966457676,23.43029455285781,19.312101022082935,0.7390665717395474,40
mbert_full,input_x_gradient,0.06773510546815774,-0.039795885435701235,0.11380960630203141,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,24.051814236471593,19.959447260339186,0.8048217306412397,23.463814946742232,19.345621415967333,0.7555988777744915,40
mbert_full,ig,0.06984158869198623,-0.03900203434097922,0.11566857891978767,0.9160639966057739,0.9193310751266799,0.918350682969817,0.9159332776515254,0.8995934083704796,0.8995934083704796,0.8995934083704796,0.9160639966057739,24.459775630206106,20.36692134667266,0.8053272584266247,23.872520094220427,19.803732409152293,0.7677479827577536,38
mbert_full,lrp,0.08086208532965182,-0.044545345291418244,0.12718278812961695,0.8868990044190389,0.8899845785776724,0.8890586526517466,0.8867755476289154,0.8713434488634834,0.8713434488634834,0.8713434488634834,0.8868990044190389,24.09435477417883,20.00198779804695,0.8046909804386724,23.499376489545924,19.3811829587711,0.7497232124623951,40
