checkpoint,method,n_texts,accuracy,rho_kl_tfd,p_kl_tfd,rho_kl_ffd,p_kl_ffd,rho_kl_fc,p_kl_fc,sd_tfd,sd_ffd,sd_fc
mrbert_filtered,saliency,37,0.6216216216216216,-0.088729607390286,0.6015112329707929,-0.1461428827604711,0.388088667347674,-0.0939489960603028,0.5802080097217375,4.481799252109092,4.586281917080121,4.38628466771814
mrbert_filtered,input_x_gradient,37,0.6216216216216216,-0.1357041054204374,0.4232249145722779,-0.1565816601005047,0.3547137433161109,-0.1618010487705216,0.3386978271739833,4.580928790732187,4.669302448515287,4.48346710761173
mrbert_filtered,ig,30,0.6666666666666666,-0.1470511023295277,0.4380810650311454,-0.1062035739046589,0.5764570788283815,-0.1633901136994753,0.388293292094832,5.040500931746544,5.162621093106468,4.943100259705475
mrbert_full,saliency,37,0.7567567567567568,0.0825991046305586,0.6269544112329505,0.0530994244053591,0.7549450757959041,0.0766991685855187,0.6518486020302995,4.424061405951832,4.538041486847739,4.329039025988223
mrbert_full,input_x_gradient,37,0.7567567567567568,0.0884990406755985,0.6024600380478738,0.0235997441801596,0.8897316774616517,0.0825991046305586,0.6269544112329505,4.409707077896772,4.550069299939477,4.311626638772238
mrbert_full,ig,31,0.7419354838709677,0.1895718861012887,0.3070570659931153,0.1071493269268153,0.5661559700997439,0.2225409097710781,0.228861002598873,4.699622922207974,4.766684375378918,4.591007472030107
mbert_filtered,saliency,37,0.4594594594594595,-0.1676185408366214,0.321379146339486,-0.0812695955571498,0.6325300490178676,-0.1574598413919777,0.3519875037881895,3.559079159506081,3.679189361137935,3.4596982398858267
mbert_filtered,input_x_gradient,37,0.4594594594594595,-0.111745693891081,0.5102426794180348,-0.0253967486116093,0.8813926064102828,-0.1015869944464372,0.5496586290090545,3.8904170408213306,4.002242320190164,3.79332125418998
mbert_filtered,ig,35,0.4571428571428571,-0.062467741933335,0.7214728559116915,0.0227155425212127,0.8969438832424123,-0.0454310850424254,0.7955222141434682,3.6244670443551024,3.7131092373744057,3.5194332376788062
mbert_full,saliency,37,0.5405405405405406,-0.259046835838415,0.1215741870544495,-0.2133326883375182,0.2048810329150634,-0.2438087866714494,0.1458970606485743,3.752634526063572,3.861144095948813,3.654734069078761
mbert_full,input_x_gradient,37,0.5405405405405406,-0.2336500872268057,0.1639801758143611,-0.2031739888928745,0.2277905880081938,-0.2336500872268057,0.1639801758143611,4.215563533731435,4.273477956485223,4.123653468426061
mbert_full,ig,33,0.5757575757575758,-0.1931775313083494,0.2814277390971461,-0.1738597781775145,0.3332270147995118,-0.2060560333955727,0.2499551297254823,3.855966582004502,3.9062348058286274,3.757412419785741
beto_filtered,saliency,37,0.6216216216216216,0.2139949354706898,0.2034453696018784,0.1722398261105552,0.3080234348684595,0.1931173807906225,0.2521308261651712,3.3569760465962144,3.46456095025775,3.25114156811506
beto_filtered,input_x_gradient,37,0.6216216216216216,0.2035561581306562,0.226898383407758,0.1409234940904543,0.4054392838465275,0.2035561581306562,0.226898383407758,3.581173456282037,3.6794227530429606,3.472184923036224
beto_filtered,ig,36,0.6388888888888888,0.1252571894760954,0.4666784132571822,0.1085562308792827,0.5285524028136313,0.1196902032771578,0.486865699517154,3.7171837012793656,3.801059678570228,3.608380311968914
beto_full,saliency,37,0.6216216216216216,0.1931173807906225,0.2521308261651712,0.0782908300502523,0.6450946536054905,0.1722398261105552,0.3080234348684595,3.3791108121757847,3.483580235535245,3.2741397643476065
beto_full,input_x_gradient,37,0.6216216216216216,0.1252653280804038,0.4600745321740153,0.0417551093601346,0.8061654085713493,0.1043877734003365,0.5386498751269192,3.5669174849620573,3.638377377739669,3.45579862884144
beto_full,ig,36,0.6111111111111112,0.2358570358137044,0.1661053863248754,0.1590663729906378,0.354116381983911,0.2084317990911806,0.222499760136909,3.450493804935746,3.5190665224942057,3.34156069013958
mrbert_full,lrp,37,0.7567567567567568,0.0235997441801596,0.8897316774616517,0.0353996162702394,0.8352274652677737,-0.0117998720900798,0.944739195236881,4.204474384896716,4.304892474663545,4.122235539276761
mrbert_filtered,lrp,37,0.6216216216216216,-0.088729607390286,0.6015112329707929,-0.1878979921206057,0.2654227015850149,-0.088729607390286,0.6015112329707929,4.307317276742999,4.433161547269837,4.225637430446769
mbert_full,lrp,37,0.5405405405405406,-0.2488881363937712,0.1374235544229822,-0.2488881363937712,0.1374235544229822,-0.2539674861160931,0.1293186095525329,3.627264787500599,3.753103336136343,3.529750603031937
mbert_filtered,lrp,37,0.4594594594594595,-0.2438087866714494,0.1458970606485743,-0.1371424425026902,0.4182805570634243,-0.2285707375044838,0.1736040281134553,3.445024027276228,3.5988865009019726,3.349726916651748
beto_full,lrp,37,0.6216216216216216,0.3079439315309927,0.0637098716373386,0.2296531014807403,0.1715202003637119,0.2870663768509254,0.084944135129278,3.096565907773131,3.210677463510589,2.9934390216630247
beto_filtered,lrp,37,0.6216216216216216,0.2557500448308245,0.1265601257414782,0.2192143241407066,0.1923752147049294,0.2557500448308245,0.1265601257414782,3.736401043215407,3.8425945717033017,3.637792119210856
